City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
206,Kamaishi,JP,2020-07-12 21:16:30,39.27,141.88,62.17,85,28,4.0,scattered clouds,0,0
207,Ubrique,ES,2020-07-12 21:16:31,36.68,-5.45,79.0,69,0,8.05,clear sky,0,0
208,Beringovskiy,RU,2020-07-12 21:16:31,63.05,179.32,50.54,82,99,10.29,overcast clouds,0,0
209,Aklavik,CA,2020-07-12 21:16:31,68.22,-135.01,60.8,44,75,10.29,broken clouds,0,0
210,Tautira,PF,2020-07-12 21:16:32,-17.73,-149.15,80.6,74,75,12.75,broken clouds,0,0
211,Nizhniy Kuranakh,RU,2020-07-12 21:16:32,58.84,125.49,73.76,63,21,1.57,few clouds,0,0
212,Ikongo,MG,2020-07-12 21:16:32,-21.88,47.43,63.01,88,27,3.02,scattered clouds,0,0
213,Kultuk,RU,2020-07-12 21:16:32,51.72,103.7,58.37,78,0,5.1,clear sky,0,0
214,Port Hawkesbury,CA,2020-07-12 21:13:54,45.62,-61.35,77.0,83,75,16.11,broken clouds,0,0
215,Nguru,NG,2020-07-12 21:16:34,12.88,10.45,85.17,55,39,7.47,scattered clouds,0,0
216,Salta,AR,2020-07-12 21:16:34,-24.79,-65.41,68.0,34,0,12.75,clear sky,0,0
217,Brandfort,ZA,2020-07-12 21:16:34,-28.7,26.46,32.0,59,0,9.6,clear sky,0,0
218,Bubaque,GW,2020-07-12 21:13:08,11.28,-15.83,78.93,86,100,16.55,light rain,0,0
219,Ocala,US,2020-07-12 21:16:20,29.19,-82.14,93.99,46,1,8.05,clear sky,0,0
220,Waipawa,NZ,2020-07-12 21:12:40,-41.41,175.52,48.0,85,95,1.99,overcast clouds,0,0
221,Tucurui,BR,2020-07-12 21:16:35,-3.77,-49.67,81.57,71,96,3.38,overcast clouds,0,0
222,Kirakira,SB,2020-07-12 21:16:35,-10.45,161.92,80.46,81,50,14.58,light rain,0,0
223,Carupano,VE,2020-07-12 21:16:35,10.67,-63.26,82.72,74,2,11.86,clear sky,0,0
224,Salalah,OM,2020-07-12 21:16:37,17.02,54.09,80.6,94,90,5.82,light intensity drizzle,0,0
225,Morgan City,US,2020-07-12 21:14:39,29.7,-91.21,95.0,70,40,11.41,scattered clouds,0,0
226,Vallenar,CL,2020-07-12 21:16:37,-28.57,-70.76,78.62,21,60,4.7,broken clouds,0,0
227,Lake Magdalene,US,2020-07-12 21:16:38,28.07,-82.47,95.0,59,75,13.87,broken clouds,0,0
